iter	Passed	Remaining
853	18774	420919
854	18797	420904
855	18818	420855
856	18838	420801
857	18858	420734
858	18879	420695
859	18901	420671
860	18922	420634
861	18946	420658
862	18968	420615
863	18989	420572
864	19009	420517
865	19030	420475
866	19053	420462
867	19074	420423
868	19094	420373
869	19117	420357
870	19137	420302
871	19160	420296
872	19180	420232
873	19200	420173
874	19222	420150
875	19244	420119
876	19265	420079
877	19285	420016
878	19305	419956
879	19326	419911
880	19347	419864
881	19367	419812
882	19388	419761
883	19409	419728
884	19430	419674
885	19450	419612
886	19471	419570
887	19492	419518
888	19513	419489
889	19535	419469
890	19557	419443
891	19577	419386
892	19598	419338
893	19618	419280
894	19639	419234
895	19661	419215
896	19683	419190
897	19704	419155
898	19724	419084
899	19745	419044
900	19765	418978
901	19785	418925
902	19807	418886
903	19827	418824
904	19846	418754
905	19867	418710
906	19888	418668
907	19908	418610
908	19929	418557
909	19950	418528
910	19971	418472
911	19993	418458
912	20014	418423
913	20036	418393
914	20057	418354
915	20077	418293
916	20099	418285
917	20122	418271
918	20142	418220
919	20163	418169
920	20183	418120
921	20205	418100
922	20226	418056
923	20247	418013
924	20267	417958
925	20288	417907
926	20309	417862
927	20330	417825
928	20351	417777
929	20371	417725
930	20392	417691
931	20413	417649
932	20434	417599
933	20455	417556
934	20474	417477
935	20495	417437
936	20517	417420
937	20538	417390
938	20560	417364
939	20583	417354
940	20604	417326
941	20625	417280
942	20649	417300
943	20669	417242
944	20690	417205
945	20711	417156
946	20732	417128
947	20754	417107
948	20775	417068
949	20796	417018
950	20816	416957
951	20837	416931
952	20860	416918
953	20881	416883
954	20902	416846
955	20923	416797
956	20944	416762
957	20965	416730
958	20986	416678
959	21006	416634
960	21028	416600
961	21049	416564
962	21069	416516
963	21089	416460
964	21111	416429
965	21132	416397
966	21154	416365
967	21173	416303
968	21194	416256
969	21215	416219
970	21237	416191
971	21257	416148
972	21277	416074
973	21297	416023
974	21320	416022
975	21340	415970
976	21362	415940
977	21383	415909
978	21404	415869
979	21425	415822
980	21446	415784
981	21466	415741
982	21488	415704
983	21509	415674
984	21529	415625
985	21549	415565
986	21569	415506
987	21591	415475
988	21611	415416
989	21633	415415
990	21657	415417
991	21679	415407
992	21702	415409
993	21723	415373
994	21744	415323
995	21766	415310
996	21789	415308
997	21814	415351
998	21836	415335
999	21860	415341
1000	21882	415333
1001	21904	415308
1002	21927	415307
1003	21949	415283
1004	21970	415258
1005	21993	415255
1006	22016	415250
1007	22037	415219
1008	22060	415209
1009	22082	415192
1010	22105	415192
1011	22127	415174
1012	22149	415158
1013	22172	415155
1014	22194	415132
1015	22216	415123
1016	22240	415125
1017	22262	415116
1018	22284	415087
1019	22306	415067
1020	22327	415045
1021	22349	415021
1022	22372	415025
1023	22395	415008
1024	22417	414999
1025	22439	414978
1026	22462	414975
1027	22484	414962
1028	22505	414910
1029	22526	414881
1030	22548	414862
1031	22570	414842
1032	22592	414816
1033	22614	414804
1034	22636	414790
1035	22659	414789
1036	22683	414792
1037	22705	414782
1038	22727	414759
1039	22750	414767
1040	22773	414751
1041	22795	414733
1042	22817	414711
1043	22839	414693
1044	22862	414688
1045	22885	414689
1046	22907	414677
1047	22929	414653
1048	22952	414653
1049	22977	414685
1050	23000	414689
1051	23022	414664
1052	23045	414658
1053	23067	414652
1054	23089	414632
1055	23112	414621
1056	23136	414635
1057	23156	414588
1058	23180	414595
1059	23204	414609
1060	23227	414623
1061	23250	414606
1062	23271	414569
1063	23293	414547
1064	23314	414521
1065	23337	414515
1066	23359	414498
1067	23382	414484
1068	23404	414479
1069	23426	414459
1070	23450	414458
1071	23473	414459
1072	23496	414459
1073	23518	414438
1074	23539	414409
1075	23562	414401
1076	23585	414404
1077	23607	414387
1078	23630	414374
1079	23652	414353
1080	23674	414341
1081	23697	414329
1082	23719	414310
1083	23742	414308
1084	23765	414299
1085	23788	414302
1086	23810	414283
1087	23833	414287
1088	23855	414259
1089	23877	414240
1090	23899	414215
1091	23921	414206
1092	23945	414219
1093	23967	414188
1094	23989	414168
1095	24012	414165
1096	24035	414161
1097	24057	414143
1098	24081	414160
1099	24104	414151
1100	24126	414142
1101	24150	414151
1102	24172	414138
1103	24193	414099
1104	24217	414111
1105	24240	414105
1106	24262	414091
1107	24285	414077
1108	24307	414054
1109	24329	414044
1110	24352	414040
1111	24376	414046
1112	24399	414041
1113	24422	414040
1114	24446	414059
1115	24468	414042
1116	24491	414035
1117	24514	414030
1118	24538	414032
1119	24558	413993
1120	24581	413985
1121	24603	413957
1122	24624	413918
1123	24646	413905
1124	24667	413868
1125	24688	413835
1126	24710	413808
1127	24731	413768
1128	24752	413733
1129	24775	413724
1130	24797	413704
1131	24820	413702
1132	24841	413666
1133	24863	413649
1134	24885	413623
1135	24906	413588
1136	24927	413547
1137	24948	413517
1138	24968	413467
1139	24990	413434
1140	25010	413391
1141	25034	413393
1142	25054	413343
1143	25076	413321
1144	25099	413312
1145	25120	413290
1146	25141	413250
1147	25162	413205
1148	25183	413177
1149	25203	413123
1150	25224	413085
1151	25246	413055
1152	25267	413030
1153	25288	412988
1154	25309	412952
1155	25332	412941
1156	25352	412900
1157	25374	412868
1158	25395	412836
1159	25418	412839
1160	25441	412820
1161	25463	412805
1162	25483	412759
1163	25505	412733
1164	25525	412687
1165	25546	412644
1166	25568	412629
1167	25590	412598
1168	25612	412575
1169	25634	412557
1170	25654	412515
1171	25676	412488
1172	25698	412468
1173	25718	412420
1174	25740	412403
1175	25762	412381
1176	25784	412351
1177	25805	412315
1178	25827	412304
1179	25851	412309
1180	25873	412287
1181	25893	412242
1182	25914	412206
1183	25935	412170
1184	25957	412150
1185	25980	412133
1186	26000	412087
1187	26022	412063
1188	26043	412029
1189	26065	412009
1190	26085	411961
1191	26107	411932
1192	26128	411904
1193	26150	411883
1194	26171	411841
1195	26193	411821
1196	26214	411782
1197	26236	411769
1198	26256	411720
1199	26279	411705
1200	26299	411656
1201	26320	411624
1202	26341	411590
1203	26362	411550
1204	26383	411523
1205	26404	411485
1206	26426	411459
1207	26447	411420
1208	26467	411369
1209	26488	411335
1210	26509	411300
1211	26532	411296
1212	26555	411285
1213	26578	411281
1214	26600	411264
1215	26622	411253
1216	26645	411239
1217	26668	411232
1218	26690	411222
1219	26712	411193
1220	26735	411194
1221	26756	411163
1222	26777	411122
1223	26799	411099
1224	26821	411079
1225	26842	411052
1226	26863	411007
1227	26885	410991
1228	26904	410929
1229	26926	410900
1230	26947	410871
1231	26969	410840
1232	26990	410813
1233	27011	410776
1234	27032	410742
1235	27054	410715
1236	27075	410684
1237	27096	410645
1238	27116	410595
1239	27137	410568
1240	27159	410549
1241	27181	410525
1242	27203	410510
1243	27224	410470
1244	27247	410456
1245	27269	410447
1246	27290	410407
1247	27312	410390
1248	27333	410358
1249	27355	410328
1250	27377	410311
1251	27398	410278
1252	27420	410264
1253	27441	410224
1254	27463	410201
1255	27485	410188
1256	27507	410159
1257	27529	410135
1258	27551	410114
1259	27572	410089
1260	27593	410051
1261	27614	410020
1262	27635	409977
1263	27657	409955
1264	27678	409923
1265	27700	409902
1266	27720	409861
1267	27742	409843
1268	27764	409820
1269	27785	409776
1270	27805	409728
1271	27828	409727
1272	27850	409704
1273	27871	409666
1274	27891	409628
1275	27912	409591
1276	27934	409569
1277	27957	409555
1278	27978	409525
1279	27999	409496
1280	28020	409461
1281	28040	409408
1282	28062	409384
1283	28083	409349
1284	28105	409331
1285	28127	409314
1286	28148	409283
1287	28170	409266
1288	28192	409237
1289	28213	409205
1290	28234	409177
1291	28257	409164
1292	28278	409136
1293	28300	409107
1294	28322	409093
1295	28343	409054
1296	28365	409034
1297	28386	408995
1298	28407	408967
1299	28429	408947
1300	28451	408933
1301	28472	408889
1302	28493	408865
1303	28514	408821
1304	28535	408797
1305	28557	408768
1306	28578	408742
1307	28600	408721
1308	28621	408687
1309	28642	408649
1310	28663	408617
1311	28684	408578
1312	28705	408545
1313	28728	408535
1314	28749	408505
1315	28770	408473
1316	28792	408454
1317	28815	408439
1318	28837	408423
1319	28859	408404
1320	28881	408389
1321	28903	408366
1322	28925	408347
1323	28945	408296
1324	28966	408260
1325	28989	408260
1326	29011	408241
1327	29032	408202
1328	29054	408186
1329	29075	408153
1330	29097	408126
1331	29118	408089
1332	29138	408048
1333	29159	408016
1334	29179	407962
1335	29200	407939
1336	29221	407896
1337	29241	407856
1338	29262	407819
1339	29285	407805
1340	29306	407772
1341	29327	407738
1342	29349	407718
1343	29370	407693
1344	29393	407681
1345	29414	407647
1346	29435	407616
1347	29458	407604
1348	29479	407573
1349	29500	407546
1350	29521	407512
1351	29543	407483
1352	29564	407460
1353	29586	407431
1354	29606	407391
1355	29627	407363
1356	29648	407318
1357	29669	407294
1358	29691	407265
1359	29713	407254
1360	29735	407228
1361	29756	407193
1362	29778	407176
1363	29801	407166
1364	29823	407144
1365	29844	407122
1366	29865	407082
1367	29885	407035
1368	29906	407006
1369	29928	406981
1370	29949	406945
1371	29970	406921
1372	29991	406888
1373	30012	406844
1374	30033	406816
1375	30055	406793
1376	30076	406764
1377	30097	406729
1378	30120	406720
1379	30141	406690
1380	30162	406654
1381	30183	406621
1382	30204	406595
1383	30224	406548
1384	30244	406500
1385	30266	406473
1386	30288	406453
1387	30309	406421
1388	30329	406386
1389	30350	406345
1390	30371	406320
1391	30393	406298
1392	30416	406282
1393	30436	406240
1394	30457	406202
1395	30477	406168
1396	30499	406142
1397	30520	406104
1398	30540	406070
1399	30563	406060
1400	30584	406024
1401	30605	405988
1402	30625	405948
1403	30647	405922
1404	30668	405890
1405	30689	405857
1406	30709	405820
1407	30731	405792
1408	30752	405763
1409	30774	405739
1410	30796	405720
1411	30818	405703
1412	30839	405665
1413	30860	405637
1414	30881	405604
1415	30903	405585
1416	30924	405550
1417	30944	405512
1418	30965	405472
1419	30986	405439
1420	31008	405422
1421	31029	405390
1422	31050	405364
1423	31073	405350
1424	31095	405327
1425	31116	405297
1426	31137	405267
1427	31158	405239
1428	31179	405207
1429	31200	405175
1430	31222	405145
1431	31242	405109
1432	31264	405083
1433	31285	405048
1434	31306	405015
1435	31328	405004
1436	31349	404974
1437	31371	404945
1438	31394	404937
1439	31415	404910
1440	31437	404891
1441	31458	404862
1442	31480	404840
1443	31501	404808
1444	31522	404777
1445	31545	404768
1446	31567	404752
1447	31590	404745
1448	31612	404728
1449	31635	404709
1450	31656	404679
1451	31678	404662
1452	31699	404626
1453	31721	404607
1454	31742	404586
1455	31765	404575
1456	31787	404554
1457	31811	404557
1458	31832	404522
1459	31852	404488
1460	31873	404452
1461	31895	404431
1462	31916	404403
1463	31938	404386
1464	31960	404362
1465	31981	404325
1466	32003	404313
1467	32025	404289
1468	32046	404257
1469	32069	404246
1470	32090	404214
1471	32112	404198
1472	32133	404168
1473	32154	404140
1474	32177	404126
1475	32198	404092
1476	32219	404063
1477	32241	404045
1478	32263	404027
1479	32285	404003
1480	32306	403968
1481	32328	403955
1482	32349	403926
1483	32370	403890
1484	32391	403860
1485	32412	403820
1486	32433	403793
1487	32454	403766
1488	32476	403739
1489	32498	403721
1490	32519	403694
1491	32542	403678
1492	32565	403672
1493	32588	403671
1494	32611	403667
1495	32634	403656
1496	32657	403652
1497	32680	403639
1498	32702	403617
1499	32724	403606
1500	32748	403608
1501	32772	403612
1502	32796	403612
1503	32819	403615
1504	32842	403597
1505	32864	403585
1506	32887	403576
1507	32910	403562
1508	32932	403548
1509	32954	403524
1510	32978	403528
1511	33001	403520
1512	33023	403510
1513	33045	403487
1514	33067	403468
1515	33089	403445
1516	33110	403419
1517	33132	403399
1518	33154	403375
1519	33176	403357
1520	33199	403350
1521	33220	403318
1522	33242	403293
1523	33265	403289
1524	33287	403266
1525	33309	403255
1526	33331	403228
1527	33354	403225
1528	33376	403207
1529	33398	403189
1530	33421	403180
1531	33444	403167
1532	33466	403146
1533	33488	403132
1534	33511	403119
1535	33533	403104
1536	33555	403085
1537	33577	403056
1538	33600	403048
1539	33621	403022
1540	33644	403010
1541	33665	402979
1542	33687	402961
1543	33710	402951
1544	33731	402927
1545	33754	402910
1546	33776	402899
1547	33799	402882
1548	33820	402857
1549	33844	402859
1550	33867	402851
1551	33890	402838
1552	33911	402812
1553	33934	402799
1554	33956	402781
1555	33978	402758
1556	34001	402752
1557	34023	402733
1558	34045	402716
1559	34069	402715
1560	34091	402699
1561	34114	402688
1562	34136	402665
1563	34156	402628
1564	34179	402624
1565	34201	402603
1566	34223	402573
1567	34243	402532
1568	34263	402496
1569	34286	402482
1570	34308	402459
1571	34329	402435
1572	34351	402415
1573	34372	402382
1574	34396	402382
1575	34418	402362
1576	34440	402347
1577	34462	402326
1578	34483	402294
1579	34505	402268
1580	34525	402234
1581	34546	402194
1582	34566	402158
1583	34589	402146
1584	34611	402129
1585	34634	402114
1586	34655	402084
1587	34674	402032
1588	34695	402001
1589	34718	401995
1590	34740	401967
1591	34762	401954
1592	34783	401923
1593	34805	401896
1594	34826	401870
1595	34847	401837
1596	34868	401804
1597	34891	401797
1598	34913	401776
1599	34934	401749
1600	34956	401723
1601	34977	401693
1602	34997	401657
1603	35019	401633
1604	35040	401604
1605	35062	401581
1606	35084	401561
1607	35105	401530
1608	35127	401505
1609	35147	401469
1610	35168	401431
1611	35189	401403
1612	35211	401383
1613	35232	401358
1614	35255	401341
1615	35275	401304
1616	35296	401266
1617	35316	401230
1618	35338	401206
1619	35359	401178
1620	35380	401147
1621	35402	401126
1622	35423	401090
1623	35443	401056
1624	35466	401040
1625	35487	401013
1626	35509	400996
1627	35532	400979
1628	35554	400962
1629	35576	400940
1630	35596	400906
1631	35618	400878
1632	35638	400837
1633	35660	400820
1634	35682	400799
1635	35702	400759
1636	35723	400729
1637	35743	400690
1638	35766	400672
1639	35787	400644
1640	35810	400632
1641	35831	400602
1642	35852	400578
1643	35874	400551
1644	35895	400523
1645	35916	400497
1646	35937	400467
1647	35960	400448
1648	35981	400424
1649	36003	400404
1650	36024	400373
1651	36046	400349
1652	36068	400335
1653	36088	400285
1654	36107	400240
1655	36128	400207
1656	36152	400210
1657	36175	400194
1658	36196	400172
1659	36219	400164
1660	36242	400147
1661	36261	400102
1662	36282	400067
1663	36302	400025
1664	36324	400010
1665	36345	399976
