iter	Passed	Remaining
869	11299	14676
870	11313	14664
871	11326	14652
872	11340	14639
873	11353	14627
874	11366	14614
875	11379	14601
876	11392	14588
877	11405	14575
878	11418	14561
879	11430	14547
880	11442	14534
881	11454	14519
882	11467	14506
883	11479	14492
884	11493	14480
885	11507	14468
886	11522	14457
887	11535	14445
888	11547	14431
889	11560	14418
890	11573	14405
891	11585	14390
892	11598	14377
893	11610	14363
894	11622	14349
895	11635	14336
896	11648	14323
897	11660	14310
898	11674	14297
899	11687	14284
900	11699	14270
901	11712	14257
902	11725	14244
903	11737	14230
904	11749	14216
905	11762	14202
906	11774	14189
907	11786	14174
908	11798	14161
909	11811	14148
910	11824	14134
911	11836	14120
912	11848	14107
913	11861	14093
914	11874	14080
915	11886	14066
916	11898	14052
917	11911	14039
918	11923	14025
919	11936	14011
920	11948	13998
921	11960	13984
922	11973	13971
923	11986	13958
924	11999	13945
925	12013	13933
926	12025	13919
927	12038	13906
928	12051	13894
929	12064	13881
930	12077	13867
931	12090	13855
932	12103	13841
933	12115	13828
934	12128	13814
935	12141	13801
936	12153	13787
937	12165	13774
938	12177	13760
939	12190	13746
940	12202	13733
941	12214	13718
942	12226	13704
943	12238	13690
944	12250	13676
945	12262	13662
946	12275	13649
947	12287	13635
948	12299	13621
949	12312	13608
950	12325	13595
951	12338	13582
952	12350	13568
953	12363	13555
954	12375	13542
955	12387	13528
956	12400	13514
957	12412	13500
958	12424	13487
959	12437	13473
960	12449	13459
961	12462	13447
962	12474	13433
963	12487	13420
964	12501	13408
965	12514	13395
966	12526	13381
967	12540	13369
968	12554	13357
969	12567	13345
970	12581	13332
971	12594	13319
972	12607	13306
973	12620	13293
974	12632	13279
975	12644	13266
976	12657	13253
977	12670	13240
978	12682	13227
979	12695	13213
980	12707	13199
981	12719	13186
982	12732	13172
983	12744	13159
984	12756	13145
985	12769	13132
986	12782	13118
987	12794	13105
988	12807	13092
989	12820	13079
990	12832	13066
991	12844	13051
992	12857	13038
993	12870	13025
994	12883	13013
995	12896	13000
996	12909	12986
997	12922	12974
998	12936	12962
999	12949	12949
1000	12963	12937
1001	12976	12924
1002	12989	12911
1003	13002	12898
1004	13014	12885
1005	13027	12872
1006	13041	12860
1007	13054	12847
1008	13068	12834
1009	13081	12822
1010	13095	12810
1011	13108	12797
1012	13122	12785
1013	13135	12772
1014	13148	12760
1015	13162	12747
1016	13175	12734
1017	13188	12722
1018	13201	12709
1019	13214	12696
1020	13228	12684
1021	13241	12671
1022	13254	12658
1023	13267	12645
1024	13281	12633
1025	13295	12621
1026	13309	12609
1027	13322	12596
1028	13336	12584
1029	13349	12572
1030	13362	12558
1031	13375	12545
1032	13388	12533
1033	13401	12519
1034	13414	12506
1035	13426	12493
1036	13440	12481
1037	13453	12468
1038	13466	12455
1039	13480	12443
1040	13493	12430
1041	13506	12417
1042	13518	12404
1043	13532	12391
1044	13545	12378
1045	13558	12365
1046	13571	12352
